Threshold,Accuracy,Precision,Recall,F1 Score,FAR,FRR
0.3462191541893561,0.6985,0.8186195826645265,0.51,0.6284658040665434,0.113,0.49
0.35439128412406673,0.697,0.8240131578947368,0.501,0.623134328358209,0.107,0.499
0.36256341405877746,0.696,0.8245033112582781,0.498,0.6209476309226933,0.106,0.502
0.37073554399348807,0.692,0.8254237288135593,0.487,0.6125786163522012,0.103,0.513
0.3789076739281988,0.691,0.8293103448275863,0.481,0.6088607594936709,0.099,0.519
0.3870798038629094,0.689,0.8387096774193549,0.468,0.6007702182284981,0.09,0.532
0.39525193379762,0.688,0.8468634686346863,0.459,0.5953307392996109,0.083,0.541
0.40342406373233086,0.685,0.8517110266159695,0.448,0.5871559633027523,0.078,0.552
0.4115961936670415,0.685,0.8585271317829457,0.443,0.5844327176781002,0.073,0.557
0.4197683236017521,0.6815,0.8594059405940594,0.434,0.5767441860465116,0.071,0.566
0.4279404535364627,0.6785,0.8606060606060606,0.426,0.5698996655518395,0.069,0.574
0.4361125834711733,0.678,0.863265306122449,0.423,0.5677852348993289,0.067,0.577
0.44428471340588416,0.6755,0.8663883089770354,0.415,0.5611899932386747,0.064,0.585
0.45245684334059477,0.675,0.8739316239316239,0.409,0.5572207084468664,0.059,0.591
0.4606289732753054,0.672,0.8739130434782608,0.402,0.5506849315068493,0.058,0.598
0.468801103210016,0.6695,0.8758314855875832,0.395,0.5444521019986217,0.056,0.605
0.47697323314472684,0.6675,0.8747203579418344,0.391,0.5404284727021424,0.056,0.609
0.48514536307943745,0.666,0.8807339449541285,0.384,0.5348189415041784,0.052,0.616
0.49331749301414807,0.6635,0.8847058823529412,0.376,0.5277192982456141,0.049,0.624
0.5014896229488587,0.6615,0.8910411622276029,0.368,0.5208775654635528,0.045,0.632
0.5096617528835693,0.6605,0.9002493765586035,0.361,0.5153461812990721,0.04,0.639
0.5178338828182801,0.659,0.9035532994923858,0.356,0.5107604017216643,0.038,0.644
0.5260060127529907,0.6545,0.905511811023622,0.345,0.49963794351918894,0.036,0.655
0.5341781426877014,0.65,0.9098360655737705,0.333,0.4875549048316252,0.033,0.667
0.542350272622412,0.6485,0.9159663865546218,0.327,0.48194546794399407,0.03,0.673
0.5505224025571228,0.646,0.9244186046511628,0.318,0.4732142857142857,0.026,0.682
0.5586945324918334,0.6445,0.9313432835820895,0.312,0.46741573033707867,0.023,0.688
0.566866662426544,0.6425,0.9357798165137615,0.306,0.46119065561416733,0.021,0.694
0.5750387923612547,0.6405,0.9376947040498442,0.301,0.45571536714610145,0.02,0.699
0.5832109222959653,0.638,0.9394904458598726,0.295,0.4490106544901065,0.019,0.705
0.5913830522306761,0.636,0.9415584415584416,0.29,0.4434250764525994,0.018,0.71
0.5995551821653867,0.6295,0.9389830508474576,0.277,0.42779922779922785,0.018,0.723
0.6077273121000973,0.627,0.9379310344827586,0.272,0.4217054263565892,0.018,0.728
0.615899442034808,0.624,0.9397163120567376,0.265,0.41341653666146644,0.017,0.735
0.6240715719695186,0.6215,0.945054945054945,0.258,0.4053417124901807,0.015,0.742
0.6322437019042294,0.6175,0.9501915708812261,0.248,0.3933386201427439,0.013,0.752
0.64041583183894,0.6175,0.9644268774703557,0.244,0.38946528332003194,0.009,0.756
0.6485879617736506,0.6125,0.9629629629629629,0.234,0.37650844730490746,0.009,0.766
0.6567600917083612,0.61,0.9621848739495799,0.229,0.36995153473344106,0.009,0.771
0.6649322216430721,0.6065,0.9650655021834061,0.221,0.3596419853539463,0.008,0.779
0.6731043515777827,0.605,0.9772727272727273,0.215,0.35245901639344257,0.005,0.785
0.6812764815124933,0.6035,0.9813953488372092,0.211,0.34732510288065843,0.004,0.789
0.6894486114472039,0.5985,0.9804878048780488,0.201,0.3336099585062241,0.004,0.799
