Threshold,Accuracy,Precision,Recall,F1 Score,FAR,FRR,EER
-0.2840848088006638,0.559,0.5329977628635347,0.953,0.6836441893830704,0.835,0.047,0.441
-0.2760593420851486,0.561,0.5342696629213484,0.951,0.6841726618705036,0.829,0.049,0.439
-0.2680338753696334,0.561,0.5345804988662132,0.943,0.6823444283646889,0.821,0.057,0.439
-0.2600084086541182,0.5635,0.5362236166571591,0.94,0.6828913912095895,0.813,0.06,0.4365
-0.251982941938603,0.564,0.5366132723112128,0.938,0.6826783114992722,0.81,0.062,0.43600000000000005
-0.2439574752230878,0.565,0.5373563218390804,0.935,0.6824817518248175,0.805,0.065,0.43500000000000005
-0.23593200850757262,0.569,0.5399305555555556,0.933,0.684017595307918,0.795,0.067,0.43100000000000005
-0.22790654179205744,0.5735,0.542907180385289,0.93,0.6855879100626613,0.783,0.07,0.4265
-0.21988107507654225,0.5735,0.5433628318584071,0.921,0.6834879406307978,0.774,0.079,0.4265
-0.21185560836102701,0.577,0.5461077844311377,0.912,0.6831460674157303,0.758,0.088,0.423
-0.20383014164551183,0.5825,0.5499092558983666,0.909,0.6852619675838673,0.744,0.091,0.4175
-0.19580467492999665,0.5835,0.5509456985967053,0.903,0.6843501326259946,0.736,0.097,0.4165
-0.18777920821448146,0.5865,0.5532307692307692,0.899,0.684952380952381,0.726,0.101,0.4135
-0.17975374149896628,0.589,0.5551425030978935,0.896,0.685539403213466,0.718,0.104,0.411
-0.1717282747834511,0.591,0.5568039950062422,0.892,0.6856264411990777,0.71,0.108,0.409
-0.1637028080679359,0.595,0.560126582278481,0.885,0.686046511627907,0.695,0.115,0.40499999999999997
-0.15567734135242067,0.6005,0.5641352903637524,0.884,0.6887417218543047,0.683,0.116,0.3995
-0.1476518746369055,0.6035,0.5664739884393064,0.882,0.6898709425107549,0.675,0.118,0.3965
-0.1396264079213903,0.607,0.569390402075227,0.878,0.6907946498819827,0.664,0.122,0.393
-0.13160094120587512,0.6105,0.5724590163934427,0.873,0.6914851485148514,0.652,0.127,0.3895
-0.12357547449035994,0.6115,0.573694646397885,0.868,0.6908077994428969,0.645,0.132,0.3885
-0.11555000777484475,0.611,0.574,0.861,0.6887999999999999,0.639,0.139,0.389
-0.10752454105932951,0.614,0.5768194070080862,0.856,0.6892109500805152,0.628,0.144,0.386
-0.09949907434381433,0.6155,0.5787321063394683,0.849,0.6882853668423187,0.618,0.151,0.3845
-0.09147360762829915,0.619,0.5821823204419889,0.843,0.6887254901960784,0.605,0.157,0.381
-0.08344814091278396,0.618,0.5819444444444445,0.838,0.6868852459016394,0.602,0.162,0.382
-0.07542267419726878,0.6205,0.584561403508772,0.833,0.6870103092783506,0.592,0.167,0.3795
-0.0673972074817536,0.624,0.5881934566145093,0.827,0.6874480465502909,0.579,0.173,0.376
-0.05937174076623841,0.624,0.5888252148997135,0.822,0.6861435726210351,0.574,0.178,0.376
-0.05134627405072323,0.6265,0.592,0.814,0.6854736842105262,0.561,0.186,0.37350000000000005
-0.043320807335208045,0.6275,0.5940959409594095,0.805,0.683651804670913,0.55,0.195,0.37250000000000005
-0.03529534061969286,0.6305,0.5974607916355489,0.8,0.6840530141085934,0.539,0.2,0.36950000000000005
-0.027269873904177566,0.634,0.6009036144578314,0.798,0.6855670103092784,0.53,0.202,0.366
-0.019244407188662382,0.637,0.6047400611620795,0.791,0.6854419410745234,0.517,0.209,0.363
-0.011218940473147199,0.6385,0.6067848882035466,0.787,0.6852416195037004,0.51,0.213,0.3615
-0.003193473757632015,0.6395,0.6088992974238876,0.78,0.6839105655414293,0.501,0.22,0.3605
0.004831992957883169,0.6445,0.6149562450278441,0.773,0.6849800620292423,0.484,0.227,0.3555
